tweet,count
https://t.co/hkI6Su3hSR,18
I have informed @GOPLeader Kevin McCarthy and all Republicans in the House that I fully support transparency on so-called whistleblower information but also insist on transparency from Joe Biden and his son Hunter,62
on the millions of dollars that have been quickly and easily...,16
taken out of Ukraine and China,9
Additionally,5
I demand transparency from Democrats that went to Ukraine and attempted to force the new President to do things that they wanted under the form of political threat,44
Wow,1
“Ukraine Whistleblower’s lead attorney donated to Biden.” @FreeBeacon,21
https://t.co/U4PIG5LPlX,20
https://t.co/VmHKZpuPs4,16
“He (President Trump) didn’t specifically mention the explicit quid pro quo of…unless you investigate this…we’re going to withhold military aid to you.” Pamela Brown,48
https://t.co/enifgzhUdC,16
“You don’t see a direct quid pro quo in this.” @BretBaier,16
“Democrats wrote to the Ukrainian government in May 2018 urging it to continue investigations into President Donald Trump’s alleged collusion with Russia in the 2016 presidential campaign — collusion later found NOT TO EXIST.” https://t.co/wYdRmpfddk,90
https://t.co/coIrRDN33G,19
Will the Democrats apologize after seeing what was said on the call with the Ukrainian President? They should,30
a perfect call - got them by surprise,9
“The Democrats have been talking about Impeaching Donald Trump since before he was inaugurated.” @SteveDoocy @foxandfriends And for no reason other than the great success we are having with the Economy,57
the Military,5
Vets,1
Tax and Regulation Cuts,7
HealthCare,2
and so much more,4
There has been no President in the history of our Country who has been treated so badly as I have,28
The Democrats are frozen with hatred and fear,12
They get nothing done,5
This should never be allowed to happen to another President,17
Witch Hunt,2
Great new book by the brilliant Andrew McCarthy,12
BALL OF COLLUSION,5
THE PLOT TO RIG AN ELECTION AND DESTROY A PRESIDENCY,16
Get it,2
and some other great new books which I will soon be recommending,16
They tell you about the Crooked Pols and the Witch Hunt that has now been exposed,19
Thank you @LouDobbs and @JudgeJeanine,11
https://t.co/LdfGFvAJNF,15
Thank you @kevinomccarthy,8
https://t.co/DhcGpWEOME,15
“He (Trump) has already been suffering from this type of a Witch Hunt since before his Inauguration,26
If it’s not one thing,6
it’s another,5
It’s a DISGRACE!” @pnjaban @LouDobbs https://t.co/9I9kXo2B8V,34
Sooooo true @LindseyGrahamSC,8
https://t.co/ZzFwXHV5ua,17
Thank you @JennaEllisRives -- totally agree,12
https://t.co/n3GDdAHLWh,16
"""They (Dems) are scrambling for a theme and narrative",13
They've gone everywhere from Russian Hoax to Russian Collusion...and now they've come to this...they think they should have won the 2016 election,37
"they think in their bizarre brains that they did..."" https://t.co/xqYFEAzT8D",27
“Mark Levin: Media trying to protect Biden,13
ignoring MASSIVE DEMOCRAT SCANDAL” https://t.co/9Il7wHwQ7J,31
“Attorney For Anti-Trump ‘Whistleblower’ Worked For Hillary Clinton,18
Chuck Schumer” https://t.co/yxQ5obwB6K,21
https://t.co/OFMzIMWpv1,17
Secretary of State Pompeo recieved permission from Ukraine Government to release the transcript of the telephone call I had with their President,39
They don’t know either what the big deal is,11
A total Witch Hunt Scam by the Democrats,11
https://t.co/1KOSnHguW2,17
PRESIDENTIAL HARASSMENT,7
They never even saw the transcript of the call,12
A total Witch Hunt,5
Pelosi,3
Nadler,3
Schiff and,2
of course,2
Maxine Waters,4
Can you believe this?,5
Such an important day at the United Nations,13
so much work and so much success,8
and the Democrats purposely had to ruin and demean it with more breaking news Witch Hunt garbage,25
So bad for our Country,7
The Democrats are so focused on hurting the Republican Party and the President that they are unable to get anything done because of it,39
including legislation on gun safety,11
lowering of prescription drug prices,10
infrastructure,4
etc,4
So bad for our Country,7
THANK YOU,2
https://t.co/Ne2LOSAWpX,18
You will see it was a very friendly and totally appropriate call,19
No pressure and,4
unlike Joe Biden and his son,8
NO quid pro quo,4
This is nothing more than a continuation of the Greatest and most Destructive Witch Hunt of all time,26
I am currently at the United Nations representing our Country,20
but have authorized the release tomorrow of the complete,15
fully declassified and unredacted transcript of my phone conversation with President Zelensky of Ukraine...,30
Hopefully they will work it out,8
and quickly,3
https://t.co/J2JGz6mfCW,19
True,1
A wonderful meeting,6
https://t.co/W9ByXaS8Qf,22
She seems like a very happy young girl looking forward to a bright and wonderful future,23
So nice to see,4
https://t.co/1tQG6QcVKO,20
https://t.co/p5imhMJqS1,18
“@FoxNews bombshell information reports that the so-called Whistleblower did not have firsthand knowledge of that phone conversation with Ukraine’s President.” Wow,41
@HARRISFAULKNER It is all a Democrat/Adam Schiff Scam,17
Doing this for 3 years now,7
and found NOTHING,4
#UNGA https://t.co/iIZugqjEhP,20
94% approval rating in the Republican Party,18
Thank you,2
Thank you,2
working hard,3
https://t.co/1CpxcJOtha,16
This is the real corruption that the Fake News Media refuses to even acknowledge,23
https://t.co/FCvUtWA33j,19
know the correct facts,5
Is he on our Country’s side,9
Where does he come from,5
Is this all about Schiff &amp; the Democrats again after years of being wrong?,21
“The very thing that they are accusing President Trump of doing (which I didn’t do),23
was actually done by Joe Biden,10
Continues to be a double standard.” @RepDevinNunes @foxandfriends These people are stone cold Crooked,28
Also,2
who is this so-called “whistleblower” who doesn’t..,13
https://t.co/lYQkgU9G04,18
Just leaving the Great State of Ohio for New York and a few big days at the United Nations,25
Your Country will be well represented,10
Breaking News: The Ukrainian Government just said they weren’t pressured at all during the “nice” call,26
Sleepy Joe Biden,5
on the other hand,5
forced a tough prosecutor out from investigating his son’s company by threat of not giving big dollars to Ukraine,32
That’s the real story,6
Now the Fake News Media says I “pressured the Ukrainian President at least 8 times during my telephone call with him.” This supposedly comes from a so-called “whistleblower” who they say doesn’t even have a first hand account of what was said,64
More Democrat/Crooked Media con....,11
https://t.co/J7g5L8LzrV,23
Incredible,4
https://t.co/SHs0RkxjzF,18
The USA Loves India,8
https://t.co/xlfnWafxpg,16
https://t.co/heZ2mNSBUw,17
Justice Kavanaugh should sue The Failing New York Times for all they are worth,18
Look forward to being with our great India loving community,19
https://t.co/RldaoFw0Uc,18
“The @nytimes is trying to make someone (Justice Kavanaugh) into an evil person when they don’t have the information to back it up,37
It is a false hoax.” @MZHemingway @MediaBuzzFNC Zero people were fired at the Times,26
Why?,1
Will be in Houston to be with my friend,10
Will be a great day in Texas,8
https://t.co/SqdOZfqd2b,16
“They are trying to destroy and influence Justice Kavanaugh,16
a very good man.” @LindseyGrahamSC 100% correct,17
and they should be fully exposed for what they are,12
I go along with Joe,6
https://t.co/zVxBruUYF8,17
“Go across the world and you’ll see either very low interest rates,18
or negative rates,5
The President wants to be competitive with these other countries on this,19
but I don’t think he’ll fire Jay Powell (even if I should!).” We should always be paying less interest than others,31
“The real story involves Hunter Biden going around the world and collecting large payments from foreign governments and foreign oligarchs.” Peter Schweizer Laura Ingraham Hunter made a fortune in Ukraine and in China,57
He knew nothing about Energy,9
or anything else,5
https://t.co/le48VOltE0,20
“When someone gets nominated overwhelmingly,13
and then wins the Election,7
as he did,3
then he gets to set the National Agenda,12
The press is just outrages,7
This @nytimes story is the most irresponsible thing I’ve ever seen.” @EdRollins @LouDobbs I agree,30
They also lose too much,6
The Fake News Media nowadays not only doesn’t check for the accuracy of the facts,25
they knowingly make up the facts,8
They even make up sources in order to protect their partners,16
the Democrats,4
It is so wrong,4
but they don’t even care anymore,10
They have gone totally CRAZY!!!,8
The LameStream Media had a very bad week,12
They pushed numerous phony stories and got caught,12
especially The Failing New York Times,9
which has lost more money over the last 10 years than any paper in history,21
and The Amazon Washington Post,9
They are The Enemy of the People,10
“Ukraine Foreign Minister disputes reports of any pressure from Trump,18
This conversation was long,7
friendly,2
and it touched on many questions.” @NBCNews Correct,13
If your looking for something done wrong,9
just look at the tape of Sleepy Joe,9
He is being protected by the Media,12
“They’re trying to turn what was a Biden scandal into a Trump scandal.” @PeterSchweizer The problem is,28
“Trump” did nothing wrong,5
“It appears that an American spy in one of our intelligence agencies may have been spying on our own president,34
The complaint suggests that this intel agent was listening in on Trump’s conversation...,23
with a foreign leader,6
Was this person officially asked to listen to the conversation or was he or she secretly listening in?” @GreggJarrett,34
“The pretend Ukraine scandal is an another malicious seditious effort to protect the Obama/Clinton gang,31
Criminal classified leaks and spying targeting Trump — again.” @TomFitton,20
“They’re trying to turn what was a Biden scandal into a Trump scandal.” @PeterScheeizer The problem is,28
“Trump” did nothing wrong,5
https://t.co/LfXqfVEvx1,17
https://t.co/ytF18g7mL2,22
https://t.co/cdvbUMJxb9,16
Some of the best Economic Numbers our Country has ever experienced are happening right now,27
This is despite a Crooked and Demented Deep State,13
and a probably illegal Democrat/Fake News Media Partnership the likes of which the world has never seen,30
MAKE AMERICA GREAT AGAIN,8
https://t.co/elXWfWK7Kt,18
https://t.co/t6O2yJlTc0,21
Now that the Democrats and the Fake News Media have gone “bust” on every other of their Witch Hunt schemes,27
they are trying to start one just as ridiculous as the others,17
call it the Ukraine Witch Hunt,7
while at the same time trying to protect Sleepy Joe Biden,15
Will fail again,4
This is the real and only story,9
https://t.co/4z8eOcm6PA,20
story about me and a perfectly fine and routine conversation I had with the new President of the Ukraine,30
Nothing was said that was in any way wrong,11
but Biden’s demand,6
on the other hand,5
was a complete and total disaster,10
The Fake News knows this but doesn’t want to report,13
The Fake News Media and their partner,10
the Democrat Party,6
want to stay as far away as possible from the Joe Biden demand that the Ukrainian Government fire a prosecutor who was investigating his son,43
or they won’t get a very large amount of U.S,14
money,2
so they fabricate a....,6
I want to express my gratitude to America’s magnificent @FLOTUS for tonight’s exquisite evening where we celebrated more than a century of loyal and devoted friendship between🇺🇸🇦🇺Both of our nations are blessed by uncommon courage,68
unfailing commitment,6
and unyielding character,7
https://t.co/i61cHCZYlD,18
Rachel Campos-Duffy has written a wonderful book for children,17
“Paloma Wants To Be Lady Freedom.” She and her husband,15
Sean Duffy,3
have done so much for our Country,9
Buy this book - great for the kids,7
https://t.co/zCYW91OSOU,19
Thank you,2
working hard,3
https://t.co/dDVWjm95iP,20
🇺🇸🇦🇺 https://t.co/LsGz56Zc1s,20
statement,2
Strange that with so many other people hearing or knowing of the perfectly fine and respectful conversation,29
that they would not have also come forward,10
Do you know the reason why they did not? Because there was nothing said wrong,18
it was pitch perfect,5
The Radical Left Democrats and their Fake News Media partners,17
headed up again by Little Adam Schiff,11
and batting Zero for 21 against me,12
are at it again,5
They think I may have had a “dicey” conversation with a certain foreign leader based on a “highly partisan” whistleblowers.,33
Oh no,2
really big political news,8
perhaps the biggest story in years,9
Part time Mayor of New York City,9
@BilldeBlasio,6
who was polling at a solid ZERO but had tremendous room for growth,18
has shocking dropped out of the Presidential race,12
NYC is devastated,6
he’s coming home,5
“The U.S,3
Economy is the envy of the world,11
as Europe and Asia slide ever toward recession,14
But the Left is trying to avoid talking about the Trump Economy.” @IngrahamAngle The Best Is Yet To Come,31
Great news,2
@MariaBartiromo just renewed her deal with Fox,15
I don’t care how much they paid her,9
they got a beautiful bargain,8
Congratulations to both,7
Nice meeting with Mark Zuckerberg of @Facebook in the Oval Office today,20
https://t.co/k5ofQREfOc https://t.co/jNt93F2BsG,39
Because of my Administration,9
drug prices are down for the first time in almost 50 years — but the American people need Congress to help,28
I like Sen,3
Grassley’s drug pricing bill very much,10
and it’s great to see Speaker Pelosi’s bill today,15
Let’s get it done in a bipartisan way,12
Presidential Harassment,7
Another Fake News story out there - It never ends,13
Virtually anytime I speak on the phone to a foreign leader,18
I understand that there may be many people listening from various U.S,21
agencies,3
not to mention those from the other country itself,13
No problem,3
Knowing all of this,5
is anybody dumb enough to believe that I would say something inappropriate with a foreign leader while on such a potentially “heavily populated” call,44
I would only do what is right anyway,11
and only do good for the USA,10
GREAT progress on the Border Wall,8
https://t.co/TvOYxgsBSv,15
All Polls,2
and some brand new Polls,5
show very little support for impeachment,11
Such a waste of time,5
especially with sooo much good that could be done,11
including prescription drug price reduction,11
healthcare,2
infrastructure etc,8
Thank you,2
https://t.co/hScbURTzMJ,15
https://t.co/G4cX8yFTWh,20
https://t.co/o0gDblBQzI,19
Jay Powell and the Federal Reserve Fail Again,13
"No “guts,” no sense",4
no vision,3
A terrible communicator,9
Happy 72nd Birthday to our GREAT @USAirForce,17
#HBDUSAF https://t.co/wVj99MgmAS https://t.co/n3mznw9pd5,45
far safer and much less expensive,9
Many more cars will be produced under the new and uniform standard,18
meaning significantly more JOBS,9
JOBS,1
JOBS,1
Automakers should seize this opportunity because without this alternative to California,26
you will be out of business,7
The Trump Administration is revoking California’s Federal Waiver on emissions in order to produce far less expensive cars for the consumer,42
while at the same time making the cars substantially SAFER,15
This will lead to more production because of this pricing and safety.....,17
 advantage,3
and also due to the fact that older,10
highly polluting cars,6
will be replaced by new,6
extremely environmentally friendly cars,12
There will be very little difference in emissions between the California Standard and the new U.S,28
Standard,2
but the cars will be...,5
I am pleased to announce that I will name Robert C,13
O’Brien,3
currently serving as the very successful Special Presidential Envoy for Hostage Affairs at the State Department,31
as our new National Security Advisor,14
I have worked long &amp; hard with Robert,10
He will do a great job,6
I have just instructed the Secretary of the Treasury to substantially increase Sanctions on the country of Iran,32
So nice that our Country is now Energy Independent,16
The USA is in better shape than ever before,14
Strongest Military by far,8
biggest Economy (no longer even close),12
number one in Energy,7
MAGA = KAG,5
Terrence K,3
Williams,2
“You can’t impeach Trump for being a winner!”,12
IIhan Omar,4
a member of AOC Plus 3,8
will win us the Great State of Minnesota,11
The new face of the Democrat Party,10
https://t.co/aQFEygSa4D,18
Dummy Beto made it much harder to make a deal,13
Convinced many that Dems just want to take your guns away,14
Will continue forward,6
https://t.co/87jvaYUkyn,19
Great,1
https://t.co/gApV8E14PW,19
Thank you Corey,4
https://t.co/r62DmJ2vMw,25
The Witch Hunt is the greatest political scam in U.S,15
history,3
#MAGA https://t.co/dKExRVOFJt,20
As Corey Lewandowski stated very clearly yesterday in front of the House Judiciary Committee,29
President Trump didn’t do anything wrong or illegal,16
But they all know that,5
The Democrats are hurting our Country,11
and getting nothing done,6
Shameful,2
@CLewandowski_ @foxandfriends,12
No Lindsey,3
it was a sign of strength that some people just don’t understand,16
https://t.co/EU8AvfH7j9,20
The New York Times is now blaming an editor for the horrible mistake they made in trying to destroy or influence Justice Brett Kavanaugh,37
It wasn’t the editor,8
the Times knew everything,6
They are sick and desperate,6
losing in so many ways,7
https://t.co/wrEmfGFRHm https://t.co/q8LC0G4cyZ,38
Such a beautiful Opening Statement by Corey Lewandowski,17
Thank you Corey,4
@CLewandowski_,8
Just departed New Mexico for California,13
where we are delivering results,9
https://t.co/EKWzgjTXyd,16
The New York Times is at its lowest point in its long and storied history,19
Not only is it losing a lot of money,12
but it is a journalistic disaster,11
being laughed at even in the most liberal of enclaves,15
It has become a very sad joke all all over the World,15
Witch Hunt hurt them..,4
”That story (Kavanaugh) is nowhere near the standard that should be met in publishing a story.” @brithume @FoxNews,30
If you want to stop the drug smugglers,9
human traffickers,5
and vicious MS-13 gang members from threatening our communities and poisoning our youth,26
you have only one choice — you must elect more REPUBLICANS,15
#KAG2020 https://t.co/L4neBV2SEo,28
We are all united by the same love of Country,13
the same devotion to family,9
and the same profound faith that America is blessed by the eternal grace of ALMIGHTY GOD,24
"

Bound by these convictions",6
we will campaign for every vote &amp; we will WIN the Great State of NEW MEXICO in 2020,29
https://t.co/BV5Wxs5GxE,20
Beautiful evening in New Mexico with Great American Patriots,19
https://t.co/S8eDG3dAq0,20
KEEP AMERICA GREAT,6
https://t.co/oPWfjSGW22,18
On my way to New Mexico — see you all shortly at the @StarCenter,19
#KAG2020 https://t.co/a9V3ULY8bY https://t.co/zRQfrVUVtY,46
She can never recover,7
and will never return to Greatness,9
under current Management,7
The Times is DEAD,4
long live The New York Times,6
I call for the Resignation of everybody at The New York Times involved in the Kavanaugh SMEAR story,28
and while you’re at it,6
the Russian Witch Hunt Hoax,6
which is just as phony,6
They’ve taken the Old Grey Lady and broken her down,14
destroyed her virtue and ruined her reputation..,13
One my way to New Mexico — see you all shortly at the @StarCenter,19
#KAG2020 https://t.co/cW7EK6V229,35
“How many stories are wrong? Almost all of the stories the New York Times has done are inaccurate and wrong.” @greggutfeld The New York Times should close its doors and throw away the keys,45
The women mentioned in the Kavanaugh story said she didn’t even remember the event,25
Congratulations @MarianoRivera,13
https://t.co/ek4VGj0p0s,23
This afternoon at the @WhiteHouse,9
it was my great honor to present our nation’s highest civilian honor,21
the Presidential Medal of Freedom,10
to American baseball legend @MarianoRivera,17
Congratulations on this extraordinary achievement,16
Mo,1
https://t.co/nzOeqFNb3C,16
Thank you,2
working hard,3
#KAG2020 https://t.co/CP32Vcx4he,31
Big crowd expected in New Mexico tonight,12
where we will WIN,4
Your Border Wall is getting stronger each and every day — see you in a few hours,22
https://t.co/uuG2gu0tTg,20
In a short while I will be presenting the New York @Yankees @MarianoRivera,24
the greatest relief pitcher (Closer!) of all time,12
with the Presidential Medal of Freedom in the East Room of the @WhiteHouse,20
They failed on the Mueller Report,8
they failed on Robert Mueller’s testimony,12
they failed on everything else,7
so now the Democrats are trying to build a case that I enrich myself by being President,25
Good idea,4
except I will,4
and have always expected to,8
lose BILLIONS of DOLLARS.,6
for the privilege of being your President - and doing the best job that has been done in many decades,27
I am far beyond somebody paying for a hotel room for the evening,19
or filling up a gas tank at an airport I do not own,15
These Radical Left Democrats are CRAZY,11
Obama Netflix?,5
“Democrats would rather talk about gun control than get something done.” Governor John Sununu @FoxNews @BillHemmer The big questions are,36
will they “move the goalposts” and,7
is this just a ploy to TAKE YOUR GUNS AWAY? I hope NOT on both counts,17
but I’ll be able to figure it out,11
Remember when Iran shot down a drone,10
saying knowingly that it was in their “airspace” when,13
in fact,2
it was nowhere close,5
They stuck strongly to that story knowing that it was a very big lie,18
Now they say that they had nothing to do with the attack on Saudi Arabia,21
We’ll see?,3
Just Out: “Kavanaugh accuser doesn’t recall incident.” @foxandfriends DO YOU BELIEVE WHAT THESE HORRIBLE PEOPLE WILL DO OR SAY,35
They are looking to destroy,7
and influence his opinions - but played the game badly,14
They should be sued,4
“What’s happening to Justice Kavanaugh is a disgrace,15
This guy is not a good man,7
he is a great man,5
He has to go to his church with his family while these terrible reports are being written about him,27
a disgrace!” Dan Bongino @foxandfriends,11
“The New York Times walks back report on Kavanaugh assault claim.” @foxandfriends The one who is actually being assaulted is Justice Kavanaugh - Assaulted by lies and Fake News,46
This is all about the LameStream Media working with their partner,17
the Dems,2
The United States,5
because of the Federal Reserve,9
is paying a MUCH higher Interest Rate than other competing countries,19
They can’t believe how lucky they are that Jay Powell &amp; the Fed don’t have a clue,23
And now,2
on top of it all,5
the Oil hit,3
Big Interest Rate Drop,6
Stimulus,3
Producer prices in China shrank most in 3 years due to China’s big devaluation of their currency,29
coupled with monetary stimulus,10
Federal Reserve not watching? Will Fed ever get into the game? Dollar strongest EVER,23
Really bad for exports,6
No Inflation...Highest Interest Rates..,10
Because we have done so well with Energy over the last few years (thank you,19
Mr,2
President!),3
we are a net Energy Exporter,10
&amp; now the Number One Energy Producer in the World,16
We don’t need Middle Eastern Oil &amp; Gas,12
&amp; in fact have very few tankers there,11
but will help our Allies,7
The @nytimes,4
“This week,2
the Senate passed a milestone in confirming the 150th Federal Judge of Mr,27
Trump’s Administration to a lifetime appointment,14
far outstripping Barack Obama’s pace and fulfilling pledges by Mr,20
Trump and Mr,4
O’Connell to remake the Federal Judiciary...,15
"’These Conservative Judicial appointments will impact our nation for years to come,’ said Lindsey Graham",27
Republican of South Carolina,10
who leads the Judiciary Committee and who has been speeding through Trump nominees.” The entire Court System is changing at a record pace,37
House Judiciary has given up on the Mueller Report,16
sadly for them after two years and $40000000 spent - ZERO COLLUSION,21
ZERO OBSTRUCTION,5
So they say,3
OK,2
lets look at everything else,7
and all of the deals that “Trump” has done over his lifetime,14
But it doesn’t...,5
work that way,3
I have a better idea,8
Look at the Obama Book Deal,8
or the ridiculous Netflix deal,9
Then look at all the deals made by the Dems in Congress,13
"the “Congressional Slush Fund,” and lastly the IG Reports",14
Take a look at them,5
Those investigations would be over FAST,11
“We cannot have what happened to this President happen again.” Joe DiGenova,21
“It is time for Justice to come barreling in.” @LouDobbs Can you imagine that with everything going on in this World,31
the Witch Hunt,3
though on a respirator,7
is still whimpering along,7
A disgrace,3
The Fake News is saying that I am willing to meet with Iran,16
“No Conditions.” That is an incorrect statement (as usual!),16
Here we go again with General Motors and the United Auto Workers,20
Get together and make a deal,8
PLENTY OF OIL,4
Saudi Arabia oil supply was attacked,12
There is reason to believe that we know the culprit,13
are locked and loaded depending on verification,14
but are waiting to hear from the Kingdom as to who they believe was the cause of this attack,23
and under what terms we would proceed,9
sufficient to keep the markets well-supplied,11
I have also informed all appropriate agencies to expedite approvals of the oil pipelines currently in the permitting process in Texas and various other States,46
Based on the attack on Saudi Arabia,12
which may have an impact on oil prices,10
I have authorized the release of oil from the Strategic Petroleum Reserve,21
if needed,3
in a to-be-determined amount...,9
Then,1
on top of it all,5
Kathleen Parker,4
of all people,4
wrote “In Case You Were Wondering,8
Trump Won The Debate.” True,6
but what is going on at the @washingtonpost? NOT Fake News,16
Can’t believe the @washingtonpost wrote a positive front page story,19
“Unity Issue Has Parties Pointing To Trump,12
GOP Goes All In,4
While Democrats Clash Over Ideology &amp; Tactics,16
Mr,2
President,3
We Are With You The Entire Way,9
REPUBLICANS Have....Coalesced Around Trump.”....,11
I am fighting the Fake (Corrupt) News,9
the Deep State,3
the Democrats,4
and the few remaining Republicans In Name Only (RINOS,16
who are on mouth to mouth resuscitation),11
with the help of some truly great Republicans,12
and others,3
We are Winning big (150th Federal Judge this week),19
Can’t let Brett Kavanaugh give Radical Left Democrat (Liberal Plus) Opinions based on threats of Impeaching him over made up stories (sound familiar?),40
false allegations,5
and lies,2
This is the game they play,6
Fake and Corrupt News is working overtime,11
#ProtectKavanaugh,7
Brett Kavanaugh should start suing people for libel,13
or the Justice Department should come to his rescue,13
The lies being told about him are unbelievable,14
False Accusations without recrimination,12
When does it stop? They are trying to influence his opinions,16
Can’t let that happen,6
Thank you @foxandfriends and @RepMarkMeadows,12
Great interview,4
Brett Kavanaugh should start suing people for liable,14
or the Justice Department should come to his rescue,13
The lies being told about him are unbelievable,14
False Accusations without recrimination,12
When does it stop? They are trying to influence his opinions,16
Can’t let that happen,6
Now the Radical Left Democrats and their Partner,13
the LameStream Media,6
are after Brett Kavanaugh again,9
talking loudly of their favorite word,10
impeachment,3
He is an innocent man who has been treated HORRIBLY,15
Such lies about him,5
They want to scare him into turning Liberal,12
All based on NOTHING,5
The Dems can’t get anything positive done,12
and probably don’t want to,8
https://t.co/FuWI3XP6jm,21
Thank you Billy,4
https://t.co/jLHKzhZ0Jn,17
Thank you,2
https://t.co/Bgsrl9vDvp,20
My great honor,4
https://t.co/AhxG0SIUML,19
That is true,3
and the USA is Winning Again,10
https://t.co/WHO5NpCTLv,20
Amazing,3
https://t.co/Nkn0zHIUCo,20
The Taliban has never been hit harder than it is being hit right now,19
Killing 12 people,5
including one great American soldier,11
was not a good idea,7
There are much better ways to set up a negotiation,15
The Taliban knows they made a big mistake,11
and they have no idea how to recover,12
I’m OK with that,6
https://t.co/LEp2Rv28ge,21
